British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Ruddy Duck,,Oxyura jamaicensis,C1E*,,,,10
Mute Swan,,Cygnus olor,AC2F,,,,20
Bewick's Swan,Tundra Swan,Cygnus columbianus,AEF,‡,,,30
Whooper Swan,,Cygnus cygnus,AE*F,,,,40
Brent Goose,Brant Goose,Branta bernicla,AEF,,,,50
Red-breasted Goose,,Branta ruficollis,AE*F,†,,,60
Canada Goose,,Branta canadensis,AC2E*,‡,,,70
Barnacle Goose,,Branta leucopsis,AC2E*F,,,,80
Cackling Goose,,Branta hutchinsii,AE,†,,,90
Ross's Goose,,Anser rossii,AE*,†,,,100
Snow Goose,,Anser caerulescens,AC2E*,,,,110
Greylag Goose,,Anser anser,AC2C4E*F,,,,120
Lesser White-fronted Goose,,Anser erythropus,AE*F,†,,,130
White-fronted Goose,Greater White-fronted Goose,Anser albifrons,AE*F,,,,140
Tundra Bean Goose,,Anser serrirostris,AE,,,,150
Pink-footed Goose,,Anser brachyrhynchus,AE*F,,,,160
Taiga Bean Goose,,Anser fabalis,AE*F,,,,170
Mandarin Duck,,Aix galericulata,C1E*,,,,180
Egyptian Goose,,Alopochen aegyptiaca,C1C5.2E*,,,,190
Shelduck,Common Shelduck,Tadorna tadorna,AF,,,,200
Ruddy Shelduck,,Tadorna ferruginea,BDE*F,†,,,210
Long-tailed Duck,,Clangula hyemalis,AF,,,,220
Steller's Eider,,Polysticta stelleri,A,†,,,230
King Eider,,Somateria spectabilis,A,†,,,240
Eider,Common Eider,Somateria mollissima,AF,,,,250
Harlequin Duck,,Histrionicus histrionicus,A,†,,,260
Common Scoter,,Melanitta nigra,AF,,,,270
Black Scoter,,Melanitta americana,A,†,,,280
Surf Scoter,,Melanitta perspicillata,AF,,,,290
Velvet Scoter,,Melanitta fusca,AF,,,,300
White-winged Scoter,,Melanitta deglandi,A,†,,,310
Stejneger's Scoter,,Melanitta stejnegeri,A,†,,,320
Bufflehead,,Bucephala albeola,AE,†,,,330
Barrow's Goldeneye,,Bucephala islandica,AE,†,,,340
Goldeneye,Common Goldeneye,Bucephala clangula,AE*F,,,,350
Smew,,Mergellus albellus,AF,,,,360
Hooded Merganser,,Lophodytes cucullatus,AE,†,,,370
Red-breasted Merganser,,Mergus serrator,AF,,,,380
Goosander,Common Merganser,Mergus merganser,AF,,,,390
Red-crested Pochard,,Netta rufina,AC2E*F,,,,400
Ferruginous Duck,,Aythya nyroca,AE,†,,,410
Pochard,Common Pochard,Aythya ferina,AE*F,,,,420
Canvasback,,Aythya valisineria,AE,†,,,430
Ring-necked Duck,,Aythya collaris,AE,,,,440
Redhead,,Aythya americana,AE,†,,,450
Tufted Duck,,Aythya fuligula,AF,,,,460
Lesser Scaup,,Aythya affinis,A,†,,,470
Scaup,Greater Scaup,Aythya marila,AF,,,,480
Baikal Teal,,Sibirionetta formosa,AE,†,,,490
Garganey,,Spatula querquedula,AF,,,,500
Blue-winged Teal,,Spatula discors,AE*,†,,,510
