common_name,scientific_name,image_url,extract,iucn_code,iucn_label
European Robin,Erithacus rubecula,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f3/Erithacus_rubecula_with_cocked_head.jpg/330px-Erithacus_rubecula_with_cocked_head.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The European robin, known simply as the robin or robin redbreast in the British Isles, is a small insectivorous passerine bird belonging to the Old World flycatcher family Muscicapidae. It is found across Europe, as far east as Western Siberia, and as far south as North Africa. It is sedentary in the west and south of its range, and migratory in the north and east of its range where winters are harsher.",LC,Least Concern
Blue Tit,Cyanistes caeruleus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Eurasian_blue_tit_Lancashire.jpg/330px-Eurasian_blue_tit_Lancashire.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Eurasian blue tit is a small passerine bird in the tit family, Paridae. It is easily recognised by its blue and yellow plumage and small size.",LC,Least Concern
Eurasian Blackbird,Turdus merula,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Common_Blackbird.jpg/330px-Common_Blackbird.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The common blackbird is a species of true thrush. It is also known as the Eurasian blackbird, or simply the blackbird. It breeds in Europe, western Asia, and North Africa, and has been introduced to Australia and New Zealand. It has a number of subspecies across its large range; a few former Asian subspecies are now widely treated as separate species. Depending on latitude, the common blackbird may be resident, partially migratory, or fully migratory.",LC,Least Concern
Wood Pigeon,Columba palumbus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Columba_palumbus_EM1B1397_%2827445478998%29.jpg/330px-Columba_palumbus_EM1B1397_%2827445478998%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The common wood pigeon, also known simply as the wood pigeon, is a large pigeon native to the western Palearctic. It belongs to the genus Columba, which includes closely related species such as the rock dove. It has a flexible diet, feeding mainly on plant material, including cereals, and is therefore considered an agricultural pest. Wood pigeons are extensively hunted over much of their range, but this does not appear to have a major impact on their population numbers.",LC,Least Concern
House Sparrow,Passer domesticus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg/330px-House_sparrow_male_in_Prospect_Park_%2853532%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The house sparrow was a bird of the sparrow family Passeridae, found in most parts of the world. It is a small bird that has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz). Females and young birds are coloured pale brown and grey, and males have brighter black, white, and brown markings. One of 28 species in the genus Passer, the house sparrow is native to most of Europe, the Mediterranean Basin, and a large part of Asia. Its intentional or accidental introductions to many regions, including parts of Australasia, Africa, and the Americas, make it the most widely distributed wild bird.",LC,Least Concern
Great Tit,Parus major,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Great_tit_%28Parus_major%29_Heligan.jpg/330px-Great_tit_%28Parus_major%29_Heligan.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The great tit is a small passerine bird in the tit family Paridae. It is widespread and common throughout Europe, the Middle East, Central Asia and as far east as the Amur River. It also occurs in parts of North Africa where it is generally resident in any sort of woodland. Most great tits do not migrate, except in extremely harsh winters. Until 2005 this species was lumped with numerous other subspecies. However, DNA studies have revealed that these subspecies are distinct from the great tit, and they have now been classified as two distinct species, the cinereous tit of southern Asia, and the Japanese tit of East Asia. The great tit remains the most widespread species in the genus Parus.",LC,Least Concern
Common Chaffinch,Fringilla coelebs,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Male_Chaffinch_-_Fringilla_coelebs.jpg/330px-Male_Chaffinch_-_Fringilla_coelebs.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Eurasian chaffinch, common chaffinch, or simply the chaffinch is a common and widespread small passerine bird – in the finch family. The male is brightly coloured with a blue-grey cap and rust-red underparts. The female is more subdued in colouring, but both sexes have two contrasting white wing bars and white sides to the tail. The male bird has a strong voice and sings from exposed perches to attract a mate.",LC,Least Concern
European Goldfinch,Carduelis carduelis,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/072_Wild_European_goldfinch_at_the_Parc_Jura_vaudois_Photo_by_Giles_Laurent.jpg/330px-072_Wild_European_goldfinch_at_the_Parc_Jura_vaudois_Photo_by_Giles_Laurent.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The European goldfinch, or simply goldfinch, is a small passerine bird in the finch family that is native to the Palearctic zone in Europe, northern Africa, and western Asia. It has been introduced to other areas, including Australia, New Zealand, Uruguay and the United States.",LC,Least Concern
Common Buzzard,Buteo buteo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Common_Buzzard_by_caroline_legg_%28cropped%29.jpg/330px-Common_Buzzard_by_caroline_legg_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The common buzzard is a medium-sized bird of prey with a large range. It is a member of the genus Buteo in the family Accipitridae. The species lives in most of Europe and extends its breeding range across much of the Palearctic as far as northwestern China, far western Siberia and northwestern Mongolia. Over much of its range, it is a year-round resident. However, buzzards from the colder parts of the Northern Hemisphere as well as those that breed in the eastern part of their range typically migrate south for the northern winter, many journeying as far as South Africa.",LC,Least Concern
Eurasian Nuthatch,Sitta europaea,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Kleiber_Sitta_europaea-0447.jpg/330px-Kleiber_Sitta_europaea-0447.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Eurasian nuthatch, wood nuthatch, or simply nuthatch, is a small passerine bird found throughout the Palearctic and in Europe. Like other nuthatches, it is a short-tailed bird with a long bill, blue-gray upperparts and a black eye-stripe. It is a vocal bird with a repeated loud dwip call. There are more than 20 subspecies in three main groups; birds in the west of the range have orange-buff underparts and a white throat, those in Russia have whitish underparts, and those in the east have a similar appearance to European birds, but lack the white throat.",LC,Least Concern
