common_name,wingspan_cm,beak_mm
Carrion Crow,98.0,50
Common Chiffchaff,18.0,9
Common Gull,120.0,35
Common Woodpigeon,77.0,18
Eurasian Green Woodpecker,48.0,35
Eurasian Jackdaw,68.0,28
Eurasian Magpie,56.0,30
Eurasian Wren,15.0,15
European Goldfinch,23.0,11
European Greenfinch,27.0,14
European Robin,21.0,13
European Shag,95.0,60
Great Tit,24.0,9
House Sparrow,22.0,11
Long-tailed Tit,17.5,5
Red-billed Chough,80.0,48
Ring-necked Parakeet,45.0,26
Ring-necked Pheasant,80.0,20
Song Thrush,34.5,20
Yellowhammer,26.0,12
