Unnamed: 0.1,Unnamed: 0,Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers,Name
0.0,0.0,S391306925,Ring-necked Pheasant,Phasianus colchicus,1477,X,GB-ENG,Norfolk,L71073549,park common,52.4412393,1.0146561,2026-09-09,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
1.0,1.0,S374602825,Eurasian Green Woodpecker,Picus viridis,11673,X,GB-ENG,Norfolk,L74064343,Norfolk,52.4380317,1.0106917,2026-07-21,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
2.0,2.0,S368077739,Eurasian Magpie,Pica pica,21467,X,GB-SCT,Glasgow,L72532286,dawsholme park,55.8998642,-4.30617,2026-07-05,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
3.0,3.0,S368066750,Eurasian Jackdaw,Coloeus monedula,21514,X,GB-SCT,Glasgow,L72529813,dawsholme park,55.8975143,-4.316545,2026-07-05,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
4.0,4.0,S368066909,Carrion Crow,Corvus corone,21575,X,GB-SCT,Glasgow,L72529813,dawsholme park,55.8975143,-4.316545,2026-07-05,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
5.0,5.0,S374601712,Great Tit,Parus major,22175,X,GB-ENG,Norfolk,L74064346,Norfolk,52.4380317,1.0106917,2026-07-21,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
6.0,6.0,S374601768,Great Tit,Parus major,22175,X,GB-ENG,Norfolk,L74064359,Norfolk,52.4380317,1.0106917,2026-07-21,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
7.0,7.0,S374602102,Common Chiffchaff,Phylloscopus collybita,24853,X,GB-ENG,Norfolk,L74064343,Norfolk,52.4380317,1.0106917,2026-07-21,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
8.0,8.0,S374601686,Long-tailed Tit,Aegithalos caudatus,25209,X,GB-ENG,Norfolk,L74064343,Norfolk,52.4380317,1.0106917,2026-07-21,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
9.0,9.0,S361610815,Long-tailed Tit,Aegithalos caudatus,25209,X,GB-ENG,Norfolk,L71073549,park common,52.4412393,1.0146561,2026-06-22,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
10.0,10.0,S362718709,Song Thrush,Turdus philomelos,28433,X,GB-ENG,Norfolk,L71073549,park common,52.4412393,1.0146561,2026-06-24,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
11.0,11.0,S391302234,European Robin,Erithacus rubecula,29253,X,GB-ENG,Norfolk,L71073549,park common,52.4412393,1.0146561,2026-09-09,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
12.0,12.0,S391307084,European Robin,Erithacus rubecula,29253,X,GB-ENG,Norfolk,L71073549,park common,52.4412393,1.0146561,2026-09-09,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
13.0,13.0,S361610906,House Sparrow,Passer domesticus,31534,X,GB-ENG,Norfolk,L71073549,park common,52.4412393,1.0146561,2026-06-22,,eBird - Casual Observation,,0,,,1,,,,,Rosie_G
